name,source,gender,wikidata,type
"Allée Alquier-Debrousse",wikidata,+,Q66685884;Q66587239,relation
"Allée Claude Cahun - Marcel Moore",wikidata,+,Q219634;Q219636,relation+way
"Allée Claude et Catherine Rich",wikidata,+,Q1097113;Q2942047,relation
"Parvis Élise et Célestin Freinet",wikidata,+,Q274726;Q313068,relation
"Place André et Françoise Trannoy",wikidata,+,Q2848714;Q118854234,relation
"Place Chavarche et Arpik Missakian",wikidata,+,Q21152245;Q55992700,relation
"Place Ghislaine Dupont ‒ Claude Verlon ‒ Camille Lepage",wikidata,+,Q15127495;Q16540300;Q16873989,way
"Place Jacques et Thérèse Tréfouël",wikidata,+,Q3160106;Q27439263,way
"Place Josette et Maurice Audin",wikidata,+,Q3182348;Q53344441,relation
"Place Laurent Terzieff et Pascale de Boysson",wikidata,+,Q523545;Q3367717,way
"Place Mireille Jacques Renouvin",wikidata,+,Q3159859;Q86514201,relation
"Place Paul et Augustine Fiket",wikidata,+,Q109990147;Q110797798,relation
"Place Paul et Marcelle Vergara",wikidata,+,Q110036494;Q110005856,relation
"Place Victor et Hélène Basch",wikidata,+,Q573584;Q3144703,relation
"Place Yvon et Claire Morandat",wikidata,+,Q3574137;Q42330328,relation+way
"Promenade Signoret Montand",wikidata,+,Q106126;Q106057,relation
"Quai Josette et Maurice Audin",wikidata,+,Q53344441;Q3182348,relation
"Rue Caroline et William Herschel",wikidata,+,Q14277;Q76948,relation
"Rue Cognacq Jay",wikidata,+,Q1356281;Q1897172,relation
"Rue Georges et Maï Politzer",wikidata,+,Q601482;Q3292749,relation
"Rue Hélène et François Missoffe",wikidata,+,Q3144821;Q1278120,relation
"Rue Jean et Marie Moinon",wikidata,+,Q64506144;Q64506258,relation
"Rue Joseph et Marie Hackin",wikidata,+,Q3185057;Q3292570,relation+way
"Rue Pierre et Marie Curie",wikidata,+,Q37463;Q7186,relation
"Rue Robert et Sonia Delaunay",wikidata,+,Q33978;Q232972,relation
"Rue de Galliera",wikidata,+,Q287127;Q3417354,relation
"Rue des Docteurs Déjérine",wikidata,+,Q612744;Q2870950,relation
"Place Lise et Artur London",wikidata,?,Q453950;Q453950;Q537234,relation
"Place Simon et Cyla Wiesenthal",wikidata,?,Q49086;Q49086;Q86239192,relation
"Allée Adrienne Lecouvreur",wikidata,F,Q237201,relation
"Allée Amandine Giraud",wikidata,F,Q47683619,relation
"Allée Anne de Beaujeu",wikidata,F,Q232801,relation
"Allée Avril de Sainte-Croix",wikidata,F,Q15969945,relation
"Allée Chantal Akerman",wikidata,F,Q239823,relation
"Allée Charlotte Perriand",wikidata,F,Q446451,relation
"Allée Clarissa Jean-Philippe",wikidata,F,Q18783540,way
"Allée Colette",wikidata,F,Q218679,way
"Allée Colette Heilbronner",wikidata,F,Q44489001,relation
"Allée Davia",wikidata,F,Q3017305,relation
"Allée Denise Vernay",wikidata,F,Q18414066,relation+way
"Allée Diane de Poitiers",wikidata,F,Q276010,relation
"Allée Elsa Triolet",wikidata,F,Q4137,way
"Allée Félicie Hervieu",wikidata,F,Q18214902,relation
"Allée France Gall",wikidata,F,Q208258,relation
"Allée Françoise d'Eaubonne",wikidata,F,Q295009,relation
"Allée Gabrielle d'Estrées",wikidata,F,Q234911,relation
"Allée Hanna Kamieniecki",wikidata,F,Q96623349,relation
"Allée Irène Némirovsky",wikidata,F,Q168441,relation
"Allée Isadora Duncan",wikidata,F,Q483512,relation
"Allée Jeanne Villepreux-Power",wikidata,F,Q29571,relation
"Allée Jeannine Worms",wikidata,F,Q3176289,way
"Allée Louise Abbéma",wikidata,F,Q237911,relation
"Allée Louise Labé",wikidata,F,Q237098,relation
"Allée Lydia Becker",wikidata,F,Q276466,relation
"Allée Maintenon",wikidata,F,Q230670,relation
"Allée Marguerite Yourcenar",wikidata,F,Q163118,relation
"Allée Maria Callas",wikidata,F,Q128297,relation
"Allée Maria Doriath",wikidata,F,Q67324148,relation
"Allée Marianne Breslauer",wikidata,F,Q90927,relation
"Allée Marie-Laurent",wikidata,F,Q8343318,relation
"Allée Mary Renynolds",wikidata,F,Q1906378,relation
"Allée Maryse Bastié",wikidata,F,Q18410,relation
"Allée Maya Surduts",wikidata,F,Q23809742,relation+way
"Allée Mireille Knoll",wikidata,F,Q51032942,way
"Allée Myriam Monsonégo",wikidata,F,Q110680530,relation
"Allée Neus Catala",wikidata,F,Q4855901,relation
"Allée Nicole Fontaine",wikidata,F,Q255023,way
"Allée Nicole Girard-Mangin",wikidata,F,Q16222574,relation
"Allée Nina Simone",wikidata,F,Q174957,relation
"Allée Pauline Léon",wikidata,F,Q3372743,relation
"Allée Pernette du Guillet",wikidata,F,Q451859,relation
"Allée Rita Thalmann",wikidata,F,Q3433261,way
"Allée Rose Dieng-Kuntz",wikidata,F,Q3442370,relation+way
"Allée Rosemonde Gérard",wikidata,F,Q440779,relation
"Allée Sœur Emanuelle",wikidata,F,Q239873,relation
"Allée Sonia Rykiel",wikidata,F,Q237944,relation
"Allée Stefa Skurnik",wikidata,F,Q111235729,relation+way
"Allée Suzanne Lenglen",wikidata,F,Q232831,way
"Allée Suzanne Noël",wikidata,F,Q16222582,way
"Allée Yvette Guilbert",wikidata,F,Q239838,relation
"Allée Yvonne Beauvais",wikidata,F,Q1277141,relation
"Allée Zabel Essayan",wikidata,F,Q3574447,relation
"Allée de la Comtesse de Ségur",wikidata,F,Q465681,relation+way
"Allée de la Reine Marguerite",wikidata,F,Q220845,relation
"Avenue Anna Politkovskaïa",wikidata,F,Q131240,way
"Avenue Anne-Eugénie Milleret de Brou",wikidata,F,Q269780,relation
"Avenue Bertie Albrecht",wikidata,F,Q454199,relation
"Avenue Daniel Lesueur",wikidata,F,Q5217915,relation
"Avenue Rachel",wikidata,F,Q267985,relation
"Avenue Victoria",wikidata,F,Q9439,relation
"Avenue de Lamballe",wikidata,F,Q233210,relation
"Avenue de Montespan",wikidata,F,Q230982,relation
"Avenue de la Belle Gabrielle",wikidata,F,Q234911,relation
"Avenue de la Sœur Rosalie",wikidata,F,Q3442221,relation
"Cité Anne-Marie Bauer",wikidata,F,Q2850819,relation
"Cité Marthe Condat",wikidata,F,Q58528466,relation
"Cours la Reine",wikidata,F,Q182021,relation
"Esplanade Alice Milliat",wikidata,F,Q2836621,relation
"Esplanade Nathalie Sarraute",wikidata,F,Q297758,relation
"Impasse Léa Blain",wikidata,F,Q19924117,relation
"Impasse Louise-Émilie de La Tour d'Auvergne",wikidata,F,Q72847062,relation
"Impasse Marie de Regnier",wikidata,F,Q3292905,relation
"Impasse Sainte-Marthe",wikidata,F,Q232453,relation
"Impasse Sainte-Monique",wikidata,F,Q234689,relation
"Jardin Françoise Giroud",wikidata,F,Q386438,relation
"Marché Jeanne d'Arc",wikidata,F,Q7226,way
"Parvis Claire Heyman et Maria Errazuriz",wikidata,F,Q35160243;Q6781989,relation
"Parvis Rosa Parks",wikidata,F,Q41921,relation+way
"Passage Alexandrine",wikidata,F,Q27910245,relation
"Passage Emma Calvé",wikidata,F,Q452065,way
"Passage Hypatie d'Alexandrie",wikidata,F,Q11903,relation
"Passage Jacqueline Giraud",wikidata,F,Q110684213,relation
"Passage Madeleine Pelletier",wikidata,F,Q528793,relation
"Passage Marie Rogissart",wikidata,F,Q16663053,relation
"Passage Miriam Makeba",wikidata,F,Q146256,relation
"Passage Nafissa Sid Cara",wikidata,F,Q3335034,relation
"Passage Rose Valland",wikidata,F,Q222961,relation
"Passage Sainte-Anne",wikidata,F,Q164294,relation
"Passage Susan Sontag",wikidata,F,Q152824,relation+way
"Passage de la Reine de Hongrie",wikidata,F,Q131706,relation
"Passerelle Arletty",wikidata,F,Q235617,way
"Passerelle Emmanuelle Riva",wikidata,F,Q436996,way
"Passerelle Marcelle-Henry",wikidata,F,Q3289554,relation
"Passerelle Maria Schneider",wikidata,F,Q224071,way
"Passerelle Michèle Morgan",wikidata,F,Q234897,relation+way
"Passerelle Simone de Beauvoir",wikidata,F,Q7197,way
"Patio-place Pina Bausch",wikidata,F,Q155538,relation
"Place Alice Guy",wikidata,F,Q263367,relation
"Place Angélique du Coudray",wikidata,F,Q2849879,relation
"Place Anne-Marie Carrière",wikidata,F,Q564812,relation
"Place Anny Flore",wikidata,F,Q2851808,relation
"Place Augusta Holmes",wikidata,F,Q464636,relation
